Date,Customer_id,customer_name,region,country,salesperson,quantity_sold,total_price,discount_applied,order_date,order_status
2022-10-05,1477a31c-97bb-4ecf-bb75-e91562c08cb5,"Mark Zimmerman",Australia,Congo,"Tanya Mejia",6,2825.58,43.54,2025-02-01,Pending
2022-06-30,610584b9-e98f-4207-bdf7-ca750b4d11e8,"Paul Rodriguez","North America",Montserrat,"Daniel Harris",8,3450.8,43.11,2022-12-17,Refunded
2024-07-02,cfadacdb-895e-41b4-a069-3a32d5a3cfa8,"Bobby Carr",Asia,Botswana,"Tim Walker",8,3897.92,35.33,2024-10-05,Pending
2022-11-17,0acf39a6-5f18-4828-a30b-580489e9780e,"Jeffrey Gonzalez",Australia,"Saint Lucia","Tiffany Jordan",9,1871.82,25.35,2023-02-07,Completed
2022-04-19,fafd9fd8-d1c7-46e1-8a07-9402c5b03106,"Jennifer Ruiz","North America","Holy See (Vatican City State)","Justin Gonzalez",6,672.84,45.76,2022-03-01,Canceled
2022-11-10,b760b4ec-ce97-4ca0-8b5c-acc48b4ebb6e,"Michelle Green","South America",Cuba,"Yesenia Schmidt",5,302,24.8,2022-10-29,Refunded
2023-10-20,b760b4ec-ce97-4ca0-8b5c-acc48b4ebb6e,"Michelle Green","South America",Cuba,"Michael Hill",4,713.24,42.09,2022-10-29,Completed
2024-05-04,275d8ce4-089c-4b4f-b852-0ba6032bc552,"Robert Shepard",Europe,Mongolia,"Joseph Dickson",10,3803.6,5.83,2024-08-11,Canceled
2022-12-27,01eaec5f-d9f6-4a4a-95b0-b2d4824dca13,"Justin Nguyen",Europe,Chile,"Jeffrey Taylor",1,453.88,48.39,2023-02-26,Canceled
2022-12-30,a42a6477-4a88-45e6-9052-be76db4130a7,"Alexandra Thomas",Africa,Comoros,"Jessica Gray",5,2084.55,12.77,2024-10-31,Pending
2024-09-05,79e27aac-fc0f-4df6-992e-c5d7fa449e3a,"John Mccarthy",Asia,Switzerland,"Theodore Morrison",8,2038.4,4.99,2022-11-26,Pending
2025-01-13,76e56e92-a8c0-4b84-84e1-1203911df2e4,"Julia Washington",Africa,Norway,"Kaylee Padilla",10,4873.1,36.66,2023-04-20,Completed
2024-03-09,0dd0d959-2e36-4175-8998-f27390197eed,"Christopher Collins",Australia,Pakistan,"David James",3,1233.33,4.61,2022-05-22,Completed
2024-10-14,bb2358ea-31fd-47c1-90ac-27c99fffff68,"Mrs. Jennifer Carter",Europe,Martinique,"Michael Wood",10,1257.8,39.86,2023-03-10,Completed
2023-05-03,da2d505f-ae08-4e2b-9d79-23eadaa8ac35,"Amanda Romero","North America","Holy See (Vatican City State)","Mark Reyes",6,2499.06,34.77,2023-01-16,Completed
2024-10-27,35fbcdc4-4f9a-4988-a39c-15b3b2b1285d,"Lauren Reed",Australia,Netherlands,"Garrett Wright",6,793.2,4.23,2022-04-19,Completed
2024-03-18,d066f5f9-1394-4126-a733-9051e9f3283a,"Charles Ware","North America",Vanuatu,"Barbara Combs",7,1060.5,0,2023-07-12,Pending
2023-12-17,52fe3fd3-f67b-4e1c-9fcb-ac2a6c095818,"Alexis Griffin",Asia,"French Southern Territories","Luis Norris",7,1271.27,1.42,2022-04-04,Refunded
2024-11-06,0038280e-e4d4-42b1-b119-55b1be2878ab,"Kathleen Alvarado",Australia,Romania,"Anthony Harris",3,1423.35,0,2023-04-05,Completed
2023-02-01,d0687d7c-7856-4358-8c25-896ecb67fd9f,"Debbie Reyes",Europe,Grenada,"Alicia Jenkins",2,759.06,10.29,2022-10-25,Refunded
2024-02-18,da74a9b0-e1d8-4f46-8eac-c5a8c1cc33ba,"Nicole Sullivan",Asia,Djibouti,"Teresa Haley",3,1168.65,10.77,2023-12-24,Completed
2025-01-20,195dd829-d8aa-49ad-99e6-f3efb7edd42c,"Jessica Owens",Asia,Guam,"Casey Mcintyre",10,1431.9,9.26,2024-02-21,Completed
2023-12-13,6aaefee2-d08b-4a74-aeb6-046fc6e8bc02,"Dustin Rich",Asia,Micronesia,"Gabrielle Hunter",2,672.88,19.67,2024-01-02,Canceled
2024-02-15,b3b81b0c-b4bf-4473-b852-3cf37169a127,"Megan Cuevas",Asia,Indonesia,"Jessica Clark",7,2873.01,4.83,2022-04-09,Canceled
2022-09-30,4c301a99-2dd6-4052-8f08-5044c274ae0b,"Cody Meza",Australia,"New Zealand","Christopher Sharp",6,1055.82,19.56,2023-02-15,Canceled
2024-12-30,c0e0d9bb-6af7-4ac9-b270-9663dedd8dd7,"Karla Patterson","North America",Liechtenstein,"Julie Mckenzie",8,3683.52,4.42,2025-02-01,Canceled
2022-04-23,69a5a1cb-fb59-4ba5-8141-23f94aaa54c6,"Christopher Burns","North America",Guam,"Steven Lee",9,4420.53,21.14,2023-06-20,Pending
2022-04-27,53c74e16-ba37-48eb-ab73-ca4317a4a8be,"Kristen Alvarado","North America","Northern Mariana Islands","Kenneth Doyle",8,236.08,22.61,2024-06-04,Canceled
2024-03-09,0dd0d959-2e36-4175-8998-f27390197eed,"Christopher Collins",Australia,Pakistan,"David James",3,1233.33,4.61,2022-03-17,Completed
2022-10-21,e23ee23f-64b9-4e6c-97d6-a4c07d295213,"Phyllis Haas",Europe,Guadeloupe,"Karen Brooks",5,376.85,12.31,2022-04-26,Pending
2024-09-20,e23ee23f-64b9-4e6c-97d6-a4c07d295213,"Phyllis Haas",Europe,Guadeloupe,"Rodney Johnson",4,1033.68,25.68,2022-04-26,Pending
2023-04-17,89d25591-648f-46ec-b187-6c5aedda9554,"Timothy Chen",Europe,Guinea-Bissau,"Robert Lawson",1,90.71,24.13,2024-04-26,Canceled
2023-07-30,89d25591-648f-46ec-b187-6c5aedda9554,"Timothy Chen",Europe,Guinea-Bissau,"Christopher Macdonald",2,557.8,12.86,2024-04-26,Pending
2024-05-20,cd157502-fe22-442a-b030-6e6b8685af3e,"Susan King",Asia,Guinea,"Nicole Woods",4,1296.92,17.4,2025-01-30,Pending
2025-02-16,f27cd5c6-568f-4a41-a0c6-ddea489b4953,"Brian Lewis",Asia,Indonesia,"Justin Higgins",1,258.93,20.13,2024-04-30,Refunded
2023-05-10,d8dd5c6f-a8b1-4a87-aa78-52816cbc6d46,"Rebecca Melendez",Australia,Romania,"Denise Rodriguez",7,1248.1,37.58,2022-04-21,Canceled
2024-12-21,d9dd9f23-1524-441b-9bc0-9cb7ff558be0,"Angela Hamilton","South America",Taiwan,"Anthony Moss",3,1203.54,16.6,2023-06-06,Canceled
2022-05-27,aefe6ef1-3dd4-4ec7-a5a2-bb3f5cfb7522,"Veronica Baker","South America",Kiribati,"Robert Hayes",10,2548.4,42.92,2023-03-22,Pending
2022-04-14,aefe6ef1-3dd4-4ec7-a5a2-bb3f5cfb7522,"Veronica Baker","South America",Kiribati,"Sarah Johnson",3,1251.69,40.39,2023-03-22,Canceled
2024-11-30,f7ee3b20-3f0c-464a-b844-3181ff467e50,"Danielle Baldwin MD",Africa,Guatemala,"Carolyn Brooks",3,490.14,33.07,2024-08-14,Pending
2023-08-27,dcc4f599-6781-45af-964c-51fc08078bd6,"Derrick Sims",Australia,Malaysia,"Christine Wheeler",1,341.28,31.08,2024-01-13,Canceled
2022-05-30,fc988855-bfd0-47db-ac98-559d36bc42f4,"Douglas Parks",Africa,Uzbekistan,"Carol Chen",3,620.67,45.04,2024-03-02,Completed
